Site,Distance from estuary mouth,Depth from (m),Depth to (cm),AVERAGE depth,Group,AVS (%S),CRS (%S),Net Acidity (mol H+/t),Organic C (%),Total N (%),ALUMINIUM (mg/kg),ARSENIC (mg/kg),CHROMIUM (mg/kg),COPPER (mg/kg),IRON (mg/kg),MANGANESE (mg/kg),NICKEL (mg/kg),ZINC (mg/kg),BORON (mg/kg),COBALT (mg/kg),BARIUM (mg/kg),CALCIUM (mg/kg),MAGNESIUM (mg/kg),POTASSIUM (mg/kg),SODIUM (mg/kg),CHLORIDE (mg/kg),SULFUR (mg/kg)
MSC1,1,0,0.1,0.05,2,0.01,0.01,109.53,11,0.487,28.426,0.022,0.042,0.049,18.047,1.087,0.677,2.179,0.43,0.493,0.188,11.809,63.331,44.901,232.903,235.814,99.255
MSC1,1,0.1,0.42,0.26,2,0,0,52.62,2.91,0.105,3.179,0.004,0.012,0.032,3.968,0.491,0.133,0.348,0.2,0.088,0.119,5.52,25.993,20.491,94.206,94.936,53.525
MSC2,2,0,0.18,0.09,2,0,0,88.79,3.07,0.164,7.1,0.008,0.036,0.037,8.54,0.242,0.027,0.142,0.223,0.018,0.133,8.214,12.87,8.016,56.748,48.307,15.104
MSC2,2,0.18,0.28,0.23,2,0,0,87.47,1.87,0.139,6.866,0.005,0.048,0.011,9.605,0.019,0.007,0.099,0.136,0.007,0.052,2.876,4.329,2.273,66.51,32.942,9.195
MSC2,2,0.28,0.4,0.34,2,0,0,98.6,4.35,0.209,5.904,0.006,0.026,0.009,7.037,0.029,0.005,0.009,0.141,0.006,0.045,3.891,6.413,1.729,67.381,44.404,11.936
MSC3,3,0,0.2,0.1,2,0.01,0.01,49.45,0.872,0.052,4.743,0.004,0.016,0.039,3.581,1.391,0.123,0.417,0.199,0.154,0.125,3.522,12.893,15.672,65.806,55.143,33.546
MSC3,3,0.2,0.6,0.4,2,0,0,21.25,1.53,0.084,2.608,0.001,0.004,0.027,1.137,3.543,0.06,0.106,0.223,0.172,0.05,2.427,15.838,7.426,151.518,73.839,76.948
MSC4,4,0,0.14,0.07,2,0,0,216.53,19.8,0.831,20.872,0.018,0.04,0.059,4.461,8.685,0.411,0.975,0.464,0.616,0.22,21.292,154.068,64.922,867.049,1090.348,294.462
MSC4,4,0.14,0.3,0.22,2,0,0,202.02,18.3,0.817,13.902,0.017,0.029,0.051,2.735,1.203,0.383,0.893,0.394,0.347,0.172,18.166,144.638,41.775,943.173,1180.941,266.91
MSC4,4,0.3,0.4,0.35,2,0,0,167.7,12.4,0.544,11.2,0.011,0.036,0.03,4.397,0.596,0.266,0.669,0.392,0.222,0.154,14.361,114.79,22.331,805.35,896.899,224.665
