Site,Order,Distance from estuary mouth,Depth from (m),Depth to (cm),AVERAGE depth,Organic C (%),Total N (%),SODIUM (mg/kg),SULFUR (mg/kg)
MSC1,1,1,0,0.1,0.05,11,0.487,79.02912617,54.25648212
MSC1,2,1,0.1,0.42,0.26,2.91,0.105,232.9030609,99.25463676
MSC1,3,1,0.42,0.65,0.535,0.891,0.044,94.205513,53.52543354
MSC2,1,2,0,0.18,0.09,3.07,0.164,49.58965778,5.588284731
MSC2,4,2,0.18,0.28,0.23,1.87,0.139,56.7482996,15.1039052
MSC2,7,2,0.28,0.4,0.34,4.35,0.209,66.50969028,9.195474982
MSC2,3,2,0.4,0.65,0.525,1.31,0.068,67.38113403,11.93578005
MSC3,1,3,0,0.2,0.1,0.872,0.052,189.2718887,74.06228065
MSC3,4,3,0.2,0.6,0.4,1.53,0.084,65.80646038,33.54643106
MSC3,7,3,0.6,1,0.8,0.984,0.055,151.5183067,76.94776058
MSC4,1,4,0,0.14,0.07,19.8,0.831,495.2377701,192.085228
MSC4,6,4,0.14,0.3,0.22,18.3,0.817,444.2796707,153.9729595
MSC4,2,4,0.3,0.4,0.35,12.4,0.544,867.0487213,294.4624329
MSC4,9,4,0.4,0.65,0.525,2.52,0.117,943.1732178,266.9104958
MSC4,10,4,0.65,0.85,0.75,1.29,0.072,805.3502655,224.665432
MSC5,1,5,0,0.35,0.175,30.7,1.23,388.5046387,187.6268196
MSC5,11,5,0.35,0.65,0.5,10.7,0.436,1077.432327,381.4303589
MSC5,6,5,0.65,0.85,0.75,1.76,0.062,1127.537441,419.9316025
MSC6,1,6,0,0.32,0.16,30.8,1.42,2093.349266,1205.990124
MSC6,11,6,0.32,0.53,0.425,32.9,1.57,1457.896328,2803.352547
MSC6,6,6,0.53,1,0.765,29.1,1.4,2465.516853,508.9463711
MSC6,15,6,1,1.3,1.15,29.8,1.04,3067.181206,781.1867714
MSC7,1,7,0,0.24,0.12,24.5,1.14,685.9636688,1354.579926
MSC7,12,7,0.24,0.6,0.42,31,1.19,263.5251236,372.0621872
MSC7,6,7,0.6,0.82,0.71,15.8,0.462,1229.613018,282.328105
MSC7,17,7,0.82,0.95,0.885,5.36,0.141,1341.253757,525.1255035
MSC8,1,8,0,0.28,0.14,28.7,1.23,1073.058414,852.6857376
MSC8,9,8,0.28,0.85,0.565,25.4,1.07,176.3540459,130.7576084
MSC8,17,8,0.85,1.3,1.075,1.83,0.07,824.8636246,294.9701548
MSC9,1,9,0,0.25,0.125,29.3,1.16,1455.060959,605.8362484
MSC9,9,9,0.25,0.5,0.375,33.1,1.13,1095.001221,312.6312017
MSC9,17,9,0.5,0.75,0.625,35.2,1.18,1114.448624,218.6299515
MSC9,22,9,0.75,1.2,0.975,38.1,1.04,1342.978477,1024.162579
MSC10,1,10,0,0.18,0.09,24,1.07,2033.001328,2436.826324
MSC10,9,10,0.18,0.28,0.23,24.7,0.959,2320.678139,3866.471863
MSC10,17,10,0.28,0.55,0.415,27.5,0.904,1900.32444,400.5465031
MSC10,22,10,0.55,0.8,0.675,26.1,0.862,1975.810051,702.5709152
MSC10,26,10,0.8,1.1,0.95,26.5,0.789,2310.745049,2998.986816
MSC11,1,11,0,0.25,0.125,27.4,1.19,407.3921967,342.9761887
MSC11,9,11,0.25,0.5,0.375,31.4,1.39,86.38460159,152.1376133
MSC11,17,11,0.5,0.83,0.665,21.4,0.896,59.67505932,28.26009512
MSC11,23,11,0.83,1.04,0.935,3.41,0.131,380.6947327,126.798563
MSC11,29,11,1.04,1.29,1.165,1.28,0.065,467.554245,134.6934032
MSC12,1,12,0,0.16,0.08,16.8,0.503,85.66788673,48.69408607
MSC12,13,12,0.16,0.4,0.28,5.05,0.161,110.5743051,19.00434941
MSC12,25,12,0.4,0.66,0.53,1.1,0.06,83.77575874,34.39457893
MSC13,1,13,0,0.05,0.025,3.03,0.162,191.6487885,105.9276104
MSC13,14,13,0.05,0.21,0.13,0.551,0.026,54.74015713,30.57234526
MSC13,27,13,0.21,0.45,0.33,0.678,0.029,45.01704693,2.422205061
MSC13,29,13,0.45,0.5,0.475,0.492,0.02,178.4526467,64.80339766
MSC14,1,14,0,0.35,0.175,21.7,0.518,119.4047928,29.11986113
